위도,경도,정류장명
35.20477284,129.1050136,명장1동새마을금고
35.20459157,129.1070084,명장시장
35.20427842,129.1044583,명장1동행정복지센터
35.20288867,129.1040275,안락초등학교
35.1998237,129.1044616,진흥상가
35.20418954,129.104429,명장1동주민센터
35.19990799,129.1044645,부산은행
35.20273248,129.1040648,안락초등학교
35.20510217,129.1044102,명장1치안센터
35.20098911,129.1117568,충렬초등학교
35.20186448,129.1111079,혜화여고.충렬고
35.19902722,129.1094863,한우크로바아파트
35.19901348,129.1096571,한우크로바아파트
35.19955344,129.1047019,부산은행
35.19934421,129.1078099,안락병원
35.20462701,129.1011998,명장조양맨션(명장역)
35.20442365,129.1014471,명장조양맨션(명장역)
35.19417049,129.0977829,벽산한신아파트
35.19432537,129.0937939,안민초등학교
35.1942485,129.0959819,중앙하이츠아파트
35.19903191,129.0946251,낙민역.동래고등학교
35.19970327,129.060565,삼익아파트정문
35.19888489,129.0599718,국민시장
35.19857844,129.0600491,국민시장
35.19962586,129.0594075,삼익아파트
35.19960201,129.0594993,삼익아파트후문
35.1982567,129.0614709,사직사거리
35.2166018,129.1118072,금사자동차학원
35.21889715,129.112655,금사공단.금사동탑마트
35.21518327,129.1072773,라이프타운
35.30076084,129.1122934,조리마을
35.30338261,129.1119917,두구동경로당앞
35.29804699,129.1125908,선두구동행정복지센터
35.30117784,129.1122549,조리
35.30275342,129.1121047,조리경로당
35.28853228,129.1093213,임석삼거리
35.29458167,129.1114117,농협
35.28865192,129.1094768,임석
35.29631697,129.1117563,중리
35.29485795,129.1113905,다움병원
35.29184573,129.1109861,수반
35.27548045,129.0901227,범어사입구
35.27562268,129.0879279,어린이놀이터
35.27253197,129.0888994,남산동농협
35.26373746,129.0850465,남산성당
35.26532156,129.0854013,부산외국어대학교
35.26411468,129.0851423,부산과학고등학교
35.25694817,129.0852827,우성아파트12동
35.22966854,129.0767654,광명사
35.23125318,129.0766777,양로원
35.22714474,129.0777023,식물원
35.22758465,129.0787157,장전중학교
35.2500716,129.0568494,금성동주민센터
35.24574138,129.0558341,산성공해마을3동
35.24430001,129.0557494,공해부락
35.24377623,129.0569814,산성공해마을
35.23812668,129.0863624,장전동어린이놀이터
35.24067912,129.0865473,장전초등학교
35.24267282,129.0866278,금정산쌍용예가.구서SK뷰
35.26683496,129.0899092,천일아파트
35.26676879,129.0913909,성원아파트
35.26538653,129.0886249,남산동럭키아파트
35.26712487,129.0879938,탐앤탐스부산외대점
35.26712987,129.0856151,남산고등학교
35.26779851,129.0892134,남산고등학교입구
35.26920566,129.0891925,남산동새벽시장
35.26172227,129.088023,남산초등학교
35.26493554,129.0887829,남산동럭키아파트
35.25810276,129.0876294,선경3차아파트
35.26168751,129.0866648,남산119안전센터
35.3034048,129.1118925,두구동경로당앞
35.30110778,129.1121007,조리마을
35.30117881,129.1120683,조리
35.30275387,129.1119166,조리경로당
35.29801943,129.1123345,선두구동행정복지센터
35.27400066,129.1031212,영락공원
35.27236791,129.101353,영락원
35.27224161,129.0961687,금정도서관
35.26692729,129.0856044,남산고등학교
35.26692234,129.0871975,탐앤탐스부산외대점
35.26705927,129.0840966,남산고교
35.26561353,129.0851624,부산외국어대학교
35.26640981,129.0845199,부산외국어대학교정문
35.26941112,129.0853022,금샘초등학교
35.26732424,129.0844168,남산고교
35.27164921,129.0852697,남산동.요산문학관
35.27448205,129.0851809,한아름빌라
35.24670833,129.0904767,구서동
35.25263132,129.0876398,롯데캐슬정문
35.25093735,129.0876442,롯데캐슬입구
35.25273538,129.0876301,롯데캐슬정문
35.25102311,129.0876356,롯데캐슬입구
35.25608807,129.087836,신동아아파트
35.249385,129.0883433,구서롯데캐슬
35.24868333,129.0908583,구서역
35.24866458,129.0906235,이마트
35.24694303,129.0887865,구서역.구서시장
35.25093838,129.0878369,롯데캐슬입구
35.25263224,129.0878167,롯데캐슬정문
35.251015,129.0878442,롯데캐슬
35.25273638,129.0878334,롯데캐슬정문
35.21385083,129.101743,서2동새마을금고
35.2135597,129.1010711,초원마트
35.21191324,129.1002313,명장2동치안센터
35.21057317,129.1015693,동남아파트
35.20951729,129.1024169,협진아파트
35.23528615,129.0860355,장전중앙교회
35.23325769,129.0855148,현대아파트
35.23193029,129.0851576,부산대학교정문
35.23839881,129.0880262,장전역
35.23570873,129.087483,(구)장전1치안센터
35.22996522,129.0924836,금정세무서
35.2103309,129.1038496,협진태양맨션
35.22598445,129.0858511,금정초등학교
35.22205183,129.0867548,온천장역
35.22452193,129.0861019,래미안장전남문
35.22064135,129.0883848,부곡4동주민센터.온천장역
35.21763083,129.0863312,온천입구
35.21862737,129.0872838,동해중학교
35.22108393,129.1134437,금사시장
35.2211622,129.1135027,금사시장
35.21997826,129.1125054,파크랜드
35.21812249,129.113578,파크랜드
35.21874797,129.1126146,금사공단
35.21743352,129.1101048,금사중학교
35.20084323,128.9920033,구포삼거리
35.21519704,129.0441387,석불사입구
35.20928,129.0007849,구포종점
35.20670119,128.9966673,구포역
35.256859,129.0141507,금곡주공7단지
35.2585571,129.0151224,금곡종합사회복지관
35.25864355,129.0151773,금곡종합사회복지관
35.2570927,129.0142729,금곡주공7단지
35.25493925,129.0136219,금곡주공9단지
35.25318892,129.0137684,금곡주공4단지
35.25310648,129.0137784,금곡주공4단지
35.25502275,129.0136228,금곡주공9단지
35.24956236,129.0144952,금곡주공6단지
35.25128298,129.0140728,유림1차아파트
35.25166774,129.0135278,금곡주공5단지
35.25339898,129.014005,금곡주공4단지
35.25496508,129.0138926,금곡주공9단지
35.25203147,129.0142111,금곡주공4단지후문
35.2535049,129.0139839,금곡주공4단지
35.2560614,129.0138918,금곡주공9단지
35.21624623,129.0089275,낙동고등학교
35.21896319,129.0089347,롯데캐슬카이저남문
35.2604749,129.0164753,금곡중학교
35.26034741,129.0164658,금곡중학교
35.25859442,129.0148256,금곡종합사회복지관
35.25678812,129.0138023,금곡주공7단지
35.25874813,129.0149238,금곡종합사회복지관
35.25687026,129.0138398,금곡주공7단지
35.26523256,129.0204371,금곡주공3단지
35.26702524,129.0196177,금곡주공1단지
35.26516957,129.0207225,금곡주공3단지
35.24943706,129.0141983,금곡주공5단지
35.24964559,129.0147405,금곡주공6단지
35.25124825,129.0143465,유림1차아파트
35.24048371,129.013948,북구보건소.인도네시아센터
35.24073404,129.0138873,북구보건소
35.24435092,129.0132596,벽산아파트
35.24450035,129.0132203,벽산아파트
35.2436286,129.0196155,정화양로원
35.24176566,129.0154819,경남아파트
35.24417261,129.0216903,코오롱아파트
35.24180954,129.0157516,경남아파트
35.24368392,129.0197525,정화양로원
35.24414874,129.0214141,코오롱아파트
35.21038448,129.0380418,만덕2동행정복지센터
35.21197275,129.0369607,만덕삼성아파트.만덕역
35.209,129.0374933,백양상가
35.20905246,129.0373832,백양상가
35.20974979,129.0356458,백양디이스트아파트
35.20964328,129.0367699,부산은행
35.21042401,129.0349037,대성아파트입구
35.2095504,129.0356385,백양디이스트아파트
35.20807833,129.0376603,만덕도서관
35.20799475,129.0373637,만덕신협2동지점
35.20824621,129.0366007,백양디이스트401동
35.20810158,129.036092,굿모닝힐401동
35.20825508,129.0347344,백양디이스트304동
35.21203715,129.0260959,이노비즈센터
