시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,보증금(만원),월세금(만원),층,건축년도,시도,구,법정동
부산광역시 동래구 온천동,443-13,443,13,칸느하우스,월세,19.775,202602,500,36,4,2013,부산광역시,동래구,온천동
부산광역시 동구 수정동,362-1,362,1,프라임빌,월세,14.85,202602,200,26,5,2013,부산광역시,동구,수정동
부산광역시 부산진구 부전동,415-15,415,15,동화마을,월세,17.5,202602,"2,000",25,5,2013,부산광역시,부산진구,부전동
부산광역시 금정구 청룡동,44-2,44,2,청룡하우스,월세,20.475,202602,"3,000",12,3,2011,부산광역시,금정구,청룡동
부산광역시 중구 영주동,584,584,0,새미빌,월세,15.99,202602,500,36,5,2015,부산광역시,중구,영주동
부산광역시 남구 용당동,467-1,467,1,원빌라,월세,16.5,202602,200,22,2,2002,부산광역시,남구,용당동
부산광역시 서구 초장동,42-13,42,13,신화RS,월세,26.0382,202602,"2,000",51,5,2022,부산광역시,서구,초장동
부산광역시 금정구 장전동,130-19,130,19,월드컵,월세,14.85,202602,500,34,5,2014,부산광역시,금정구,장전동
부산광역시 중구 영주동,671-4,671,4,영주아크로,월세,18.56,202602,"2,000",35,4,2021,부산광역시,중구,영주동
부산광역시 서구 암남동,24-45,24,45,양지빌,월세,16.34,202602,"1,500",31,5,2003,부산광역시,서구,암남동
부산광역시 금정구 장전동,442-15,442,15,(442-15),월세,22.7,202602,500,36,3,2018,부산광역시,금정구,장전동
부산광역시 금정구 장전동,219-15,219,15,(219-15),월세,13.88,202602,500,16,5,2012,부산광역시,금정구,장전동
부산광역시 금정구 장전동,153-6,153,6,청마빌,월세,17.1032,202602,500,35,2,2015,부산광역시,금정구,장전동
부산광역시 동래구 온천동,1454-4,1454,4,스위스빌,전세,15.02,202602,"5,000",0,2,2013,부산광역시,동래구,온천동
부산광역시 해운대구 재송동,1074-8,1074,8,센텀예담,월세,20.52,202602,500,45,5,2012,부산광역시,해운대구,재송동
부산광역시 연제구 연산동,632-5,632,5,트라움하우스12차,월세,22.88,202602,500,46,4,2017,부산광역시,연제구,연산동
부산광역시 연제구 연산동,410-29,410,29,금강블루빌,월세,14.44,202602,200,30,4,2012,부산광역시,연제구,연산동
부산광역시 사상구 주례동,149-5,149,5,골든파크2,월세,14.81,202602,500,46,4,2017,부산광역시,사상구,주례동
부산광역시 사상구 주례동,135-5,135,5,(135-5),월세,16.53,202602,"4,000",30,4,2022,부산광역시,사상구,주례동
