시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,보증금(만원),월세금(만원),층,건축년도,시도,구,법정동,산여부,법정동코드,PNU,경도,위도,좌표조회방식,좌표조회에러
부산광역시 연제구 연산동,1386-20,1386,20,남강Sweet,월세,17.1,202509,"1,000",16,5,2010,부산광역시,연제구,연산동,0,2647010200,2647010200013860020,129.07838900852926,35.1832302010545,parcel_address,
부산광역시 연제구 연산동,711-5,711,5,수목하우스나동,월세,18.36,202509,500,43,4,2015,부산광역시,연제구,연산동,0,2647010200,2647010200007110005,129.08228770960477,35.18301750703587,parcel_address,
부산광역시 동래구 온천동,1404-9,1404,9,비스타빌,전세,17.61,202509,"2,000",0,4,2011,부산광역시,동래구,온천동,0,2626010800,2626010800014040009,129.07081626870485,35.208245939333054,parcel_address,
부산광역시 동래구 온천동,1380-12,1380,12,금강초롱,월세,20.14,202509,200,32,5,2014,부산광역시,동래구,온천동,0,2626010800,2626010800013800012,129.0675716122028,35.20213673614496,parcel_address,
부산광역시 남구 대연동,1804-24,1804,24,선진타운,월세,20.34,202509,500,37,4,2018,부산광역시,남구,대연동,0,2629010600,2629010600018040024,129.08501503505846,35.13828005413241,parcel_address,
부산광역시 서구 암남동,81-31,81,31,스카이빌,월세,16.0,202509,"1,000",30,1,2013,부산광역시,서구,암남동,0,2614012400,2614012400000810031,129.01799955740245,35.0797405574104,parcel_address,
부산광역시 사하구 하단동,611-35,611,35,(611-35),전세,16.44,202509,"6,000",0,2,2016,부산광역시,사하구,하단동,0,2638010300,2638010300006110035,128.96692298895675,35.103174761305155,parcel_address,
부산광역시 사하구 하단동,611-35,611,35,(611-35),전세,16.44,202509,"6,000",0,2,2016,부산광역시,사하구,하단동,0,2638010300,2638010300006110035,128.96692298895675,35.103174761305155,parcel_address,
부산광역시 부산진구 부전동,466-28,466,28,세원하우스,월세,16.6,202509,"1,000",41,5,2014,부산광역시,부산진구,부전동,0,2623010300,2623010300004660028,129.05427996121983,35.15858683908742,parcel_address,
부산광역시 북구 덕천동,404-20,404,20,GJ하우스,월세,15.44,202509,200,31,4,2012,부산광역시,북구,덕천동,0,2632010400,2632010400004040020,129.02277492270673,35.21257672238549,parcel_address,
부산광역시 부산진구 부전동,420-31,420,31,리치빌,전세,20.92,202509,"9,000",0,5,2012,부산광역시,부산진구,부전동,0,2623010300,2623010300004200031,129.05316576926506,35.15917443605222,parcel_address,
부산광역시 영도구 봉래동1가,59-2,59,2,(59-2),월세,26.04,202509,"3,000",34,3,2012,부산광역시,영도구,봉래동1가,0,2620011500,2620011500000590002,129.03977814877084,35.09428031931964,parcel_address,
부산광역시 해운대구 재송동,1073-18,1073,18,센텀스타빌,월세,29.7,202509,300,40,4,2012,부산광역시,해운대구,재송동,0,2635010400,2635010400010730018,129.12177074758438,35.18725858660762,parcel_address,
부산광역시 금정구 구서동,445-25,445,25,골드빌리지,월세,18.4,202509,50,40,3,2012,부산광역시,금정구,구서동,0,2641010700,2641010700004450025,129.09030976033912,35.24453210004918,parcel_address,
부산광역시 남구 대연동,1321-4,1321,4,영진블루빌2,월세,17.19,202509,500,22,3,2012,부산광역시,남구,대연동,0,2629010600,2629010600013210004,129.09097689112133,35.13357561240046,parcel_address,
