법정동코드,법정동명,폐지여부
2620011300,부산광역시 영도구 신선동2가,존재
2620011400,부산광역시 영도구 신선동3가,존재
2620011500,부산광역시 영도구 봉래동1가,존재
2620011600,부산광역시 영도구 봉래동2가,존재
2620011700,부산광역시 영도구 봉래동3가,존재
2620011800,부산광역시 영도구 봉래동4가,존재
2620011900,부산광역시 영도구 봉래동5가,존재
2620012000,부산광역시 영도구 청학동,존재
2620012100,부산광역시 영도구 동삼동,존재
2623000000,부산광역시 부산진구,존재
2623010100,부산광역시 부산진구 양정동,존재
2623010200,부산광역시 부산진구 전포동,존재
2623010300,부산광역시 부산진구 부전동,존재
2623010400,부산광역시 부산진구 범천동,존재
2623010500,부산광역시 부산진구 범전동,존재
2623010600,부산광역시 부산진구 연지동,존재
2623010700,부산광역시 부산진구 초읍동,존재
2623010800,부산광역시 부산진구 부암동,존재
2623010900,부산광역시 부산진구 당감동,존재
2623011000,부산광역시 부산진구 가야동,존재
2623011100,부산광역시 부산진구 개금동,존재
2626000000,부산광역시 동래구,존재
2626010100,부산광역시 동래구 명장동,존재
2626010200,부산광역시 동래구 안락동,존재
2626010300,부산광역시 동래구 칠산동,존재
2626010400,부산광역시 동래구 낙민동,존재
2626010500,부산광역시 동래구 복천동,존재
2626010600,부산광역시 동래구 수안동,존재
2626010700,부산광역시 동래구 명륜동,존재
2626010800,부산광역시 동래구 온천동,존재
2626010900,부산광역시 동래구 사직동,존재
2626011000,부산광역시 동래구 거제동,폐지
2626011100,부산광역시 동래구 연산동,폐지
2629000000,부산광역시 남구,존재
2629010100,부산광역시 남구 망미동,폐지
2629010200,부산광역시 남구 수영동,폐지
2629010300,부산광역시 남구 민락동,폐지
2629010400,부산광역시 남구 광안동,폐지
2629010500,부산광역시 남구 남천동,폐지
2629010600,부산광역시 남구 대연동,존재
2629010700,부산광역시 남구 용호동,존재
2629010800,부산광역시 남구 용당동,존재
2629010900,부산광역시 남구 문현동,존재
2629011000,부산광역시 남구 우암동,존재
2629011100,부산광역시 남구 감만동,존재
2632000000,부산광역시 북구,존재
2632010100,부산광역시 북구 금곡동,존재
2632010200,부산광역시 북구 화명동,존재
2632010300,부산광역시 북구 만덕동,존재
2632010400,부산광역시 북구 덕천동,존재
2632010500,부산광역시 북구 구포동,존재
2632010600,부산광역시 북구 삼락동,폐지
